id,label,type,author,n_books
b3541,"Gateway (Heechee Saga, #1)",book,Frederik Pohl,1
b2485,Swan Song,book,Robert McCammon,1
b7619,"Sleeping Murder (Miss Marple, #13)",book,Agatha Christie,1
b3525,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,book,"Naoki Higashida, K.A. Yoshida, David Mitchell",1
b7957,"Scent of Magic (Healer, #2)",book,Maria V. Snyder,1
b3904,"Anne of Ingleside (Anne of Green Gables, #6)",book,L.M. Montgomery,1
b2366,Metamorphoses,book,"Ovid, David Raeburn, Denis Feeney",1
b2769,Z: A Novel of Zelda Fitzgerald,book,Therese Anne Fowler,1
b7238,"Ilse Witch (Voyage of the Jerle Shannara, #1)",book,Terry Brooks,1
b3176,"The Dead Girls' Dance (The Morganville Vampires, #2)",book,Rachel Caine,1
b266,"Kiss the Girls (Alex Cross, #2)",book,James Patterson,1
b3527,"Once Burned (Night Prince, #1)",book,Jeaniene Frost,1
b4113,"Dissolution (Matthew Shardlake, #1)",book,C.J. Sansom,1
b1732,The Man in the Brown Suit,book,Agatha Christie,1
b7076,"Deadman Wonderland, Volume 1 (Deadman Wonderland, #1)",book,"Jinsei Kataoka, Kazuma Kondou",1
b4684,The Wealth of Nations,book,Adam Smith,1
b4273,Le Morte d'Arthur: King Arthur and the Legends of the Round Table,book,"Thomas Malory, Keith Baines, Robert Graves",1
b6244,"Dragon Slippers (Dragon Slippers, #1)",book,Jessica Day George,1
b7267,"Real Murders (Aurora Teagarden, #1)",book,Charlaine Harris,1
b7863,"Vampire Knight, Vol. 9",book,"Matsuri Hino, Tomo Kimura",1
b5366,"Y: The Last Man, Vol. 10: Whys and Wherefores (Y: The Last Man, #10)",book,"Brian K. Vaughan, Pia Guerra, José Marzán Jr.",1
b3055,Death: The High Cost of Living Collected,book,"Neil Gaiman, Chris Bachalo, Mark Buckingham, Tori Amos",1
b4621,"Ancillary Sword (Imperial Radch, #2)",book,Ann Leckie,1
b9331,"Priestess of the White (Age of the Five, #1)",book,Trudi Canavan,1
b8958,"Talon (Talon, #1)",book,Julie Kagawa,1
b6408,"Beauty Pop, Vol. 1 (Beauty Pop, #1)",book,Kiyoko Arai,1
b1425,"Beautiful Chaos (Caster Chronicles, #3)",book,"Kami Garcia, Margaret Stohl, Paz Pruneda",1
b4477,A Universe from Nothing: Why There Is Something Rather Than Nothing,book,"Lawrence M. Krauss, Richard Dawkins",1
b2369,"Half-Blood (Covenant, #1)",book,Jennifer L. Armentrout,1
b5192,The Demolished Man,book,Alfred Bester,1
b2237,"Lover Reborn (Black Dagger Brotherhood, #10)",book,J.R. Ward,1
b2780,"The Siege of Macindaw (Ranger's Apprentice, #6)",book,John Flanagan,1
b3001,"Kiss of Midnight (Midnight Breed,  #1)",book,Lara Adrian,1
b3816,"End of Days (Penryn & the End of Days, #3)",book,Susan Ee,1
b4268,Pompeii,book,Robert   Harris,1
b2295,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,book,"Dava Sobel, Neil Armstrong",1
b1366,"The Infinite Sea (The 5th Wave, #2)",book,Rick Yancey,1
b3322,The Lady and the Unicorn,book,Tracy Chevalier,1
b3150,"Mystery Man (Dream Man, #1)",book,Kristen Ashley,1
b1802,"Hannibal (Hannibal Lecter, #3)",book,Thomas Harris,1
b3197,"Tears of the Giraffe (No. 1 Ladies' Detective Agency, #2)",book,Alexander McCall Smith,1
b6449,Le bleu est une couleur chaude,book,Julie Maroh,1
b2264,"Explosive Eighteen (Stephanie Plum, #18)",book,Janet Evanovich,1
b683,A Bend in the Road,book,Nicholas Sparks,1
b1069,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",book,"Steven D. Levitt, Stephen J. Dubner",1
b8819,The Selected Poetry of Rainer Maria Rilke,book,"Rainer Maria Rilke, Stephen Mitchell, Robert Hass",1
b6720,"Locke & Key, Vol. 4: Keys to the Kingdom",book,"Joe Hill, Gabriel Rodríguez",1
b6797,"Dust of Dreams (The Malazan Book of the Fallen, #9)",book,Steven Erikson,1
b7680,"Love★Com, Vol. 1",book,"Aya Nakahara, Pookie Rolf",1
b1845,Alias Grace,book,"Margaret Atwood, Brigitte Walitzek",1
b1798,"Edge of Eternity (The Century Trilogy, #3)",book,Ken Follett,1
b1300,Those Who Save Us,book,Jenna Blum,1
b4843,Salt Sugar Fat: How the Food Giants Hooked Us,book,Michael Moss,1
b5523,"Bleach, Volume 15",book,Tite Kubo,1
b288,"The Hunt for Red October (Jack Ryan Universe, #4)",book,Tom Clancy,1
b1540,"Masquerade (Blue Bloods, #2)",book,Melissa de la Cruz,1
b8767,"Ogre, Ogre (Xanth #5)",book,Piers Anthony,1
b6982,"Another Fine Myth (Myth Adventures, #1)",book,Robert Lynn Asprin,1
b3770,"Illuminae (The Illuminae Files, #1)",book,"Amie Kaufman, Jay Kristoff",1
b5540,Antony and Cleopatra,book,"William Shakespeare, Cynthia Marshall, Barbara A. Mowat, Paul Werstine",1
b1926,Made to Stick: Why Some Ideas Survive and Others Die,book,"Chip Heath, Dan Heath",1
b1672,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, A Man Who Would Cure the World",book,Tracy Kidder,1
b4340,"Friday Night Bites (Chicagoland Vampires, #2)",book,Chloe Neill,1
b7712,"Special A, Vol. 1 (Special A, #1)",book,Maki Minami,1
b495,A Heartbreaking Work of Staggering Genius,book,Dave Eggers,1
b640,Prey,book,Michael Crichton,1
b3529,The End of Eternity,book,Isaac Asimov,1
b3681,"Chocolate Chip Cookie Murder (Hannah Swensen, #1)",book,Joanne Fluke,1
b5755,Valiant (Modern Faerie Tales #2),book,Holly Black,1
b4589,"Bury Your Dead (Chief Inspector Armand Gamache, #6)",book,Louise Penny,1
b3368,Through the Woods,book,Emily Carroll,1
b2416,"Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)",book,R.A. Salvatore,1
b6284,"Serpent Mage (The Death Gate Cycle, #4)",book,"Margaret Weis, Tracy Hickman",1
b9359,Rubicon: The Last Years of the Roman Republic,book,Tom Holland,1
b649,1Q84,book,"Haruki Murakami, Jay Rubin, Philip Gabriel",1
b2542,"Ten Tiny Breaths (Ten Tiny Breaths, #1)",book,K.A. Tucker,1
b2421,Musicophilia: Tales of Music and the Brain,book,Oliver Sacks,1
b5258,The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,book,Richard Dawkins,1
b4231,"A Great Deliverance (Inspector Lynley, #1)",book,Elizabeth  George,1
b9766,The Decline and Fall of the Roman Empire,book,"Edward Gibbon, Daniel J. Boorstin, Gian Battista Piranesi, Hans-Friedrich Mueller",1
b2036,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,book,Brené Brown,1
b6228,"Fool's Quest  (The Fitz and The Fool, #2)",book,Robin Hobb,1
b6701,"Red Prophet (Tales of Alvin Maker, #2)",book,Orson Scott Card,1
b3440,"The Fall (The Strain Trilogy, #2)",book,"Guillermo del Toro, Chuck Hogan",1
b1720,Amy & Roger's Epic Detour,book,Morgan Matson,1
b1719,Phantoms,book,Dean Koontz,1
b3318,"Birthmarked (Birthmarked, #1)",book,Caragh M. O'Brien,1
b9620,The Complete Poems 1927-1979,book,Elizabeth Bishop,1
b583,"Silence (Hush, Hush, #3)",book,Becca Fitzpatrick,1
b2799,"The Testing (The Testing, #1)",book,Joelle Charbonneau,1
b6924,The Shadow of the Torturer (The Book of the New Sun #1),book,Gene Wolfe,1
b946,"The Kill Order (Maze Runner, #0.5)",book,James Dashner,1
b1227,"The Awakening (Darkest Powers, #2)",book,Kelley Armstrong,1
b2112,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",book,Jenny Han,1
b6569,"Birds of a Feather (Maisie Dobbs, #2)",book,Jacqueline Winspear,1
b1364,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",book,"Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus",1
b8799,Sign of the Unicorn (The Chronicles of Amber #3),book,Roger Zelazny,1
b780,Calvin and Hobbes,book,"Bill Watterson, G.B. Trudeau",1
b6947,The Strange and Beautiful Sorrows of Ava Lavender,book,Leslye Walton,1
b3571,Wicked Deeds on a Winter's Night (Immortals After Dark #4),book,Kresley Cole,1
b6684,"Death in the Clouds (Hercule Poirot, #12)",book,Agatha Christie,1
b3699,An Ideal Husband,book,Oscar Wilde,1
b6817,"The Unwritten, Vol. 1: Tommy Taylor and the Bogus Identity",book,"Mike Carey, Bill Willingham, Peter Gross",1
b2460,"Blue Exorcist, Vol. 1  (Blue Exorcist, #1)",book,"Kazue Kato, John Werry",1
b9976,"Sea Glass (Glass, #2)",book,Maria V. Snyder,1
b6536,"Shards of a Broken Crown (The Serpentwar Saga, #4)",book,Raymond E. Feist,1
b2224,"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",book,Laurell K. Hamilton,1
b4944,"Running with the Demon (Word & Void, #1)",book,Terry Brooks,1
b601,The Tale of Peter Rabbit,book,Beatrix Potter,1
b1769,"Real (Real, #1)",book,Katy Evans,1
b9364,"When Beauty Tamed the Beast (Fairy Tales, #2)",book,Eloisa James,1
b1304,"Blood Rites (The Dresden Files, #6)",book,Jim Butcher,1
b2727,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",book,Karen Armstrong,1
b120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",book,Ann Brashares,1
b2365,The Cask of Amontillado,book,Edgar Allan Poe,1
b2350,The Chaperone,book,Laura Moriarty,1
b2091,"Key of Light (Key Trilogy, #1)",book,Nora Roberts,1
b9116,"A Caribbean Mystery (Miss Marple, #10)",book,Agatha Christie,1
b2564,"Shadow of the Giant (Ender's Shadow, #4)",book,Orson Scott Card,1
b3935,"Sugar Daddy (Travises, #1)",book,Lisa Kleypas,1
b6312,"Bakuman, Band 1: Traum und Realität",book,"Tsugumi Ohba, Takeshi Obata, Diana Hammermeister",1
b4416,Kiss an Angel,book,Susan Elizabeth Phillips,1
b1633,"Memnoch the Devil (The Vampire Chronicles, #5)",book,Anne Rice,1
b3259,The Painted Girls,book,Cathy Marie Buchanan,1
b8868,"At Bertram's Hotel (Miss Marple, #11)",book,Agatha Christie,1
b2075,"The Boy Next Door (Boy, #1)",book,Meg Cabot,1
b1048,The Perfect Storm: A True Story of Men Against the Sea,book,Sebastian Junger,1
b4497,"The Tea Rose (The Tea Rose, #1)",book,Jennifer Donnelly,1
b526,"Darkly Dreaming Dexter (Dexter, #1)",book,Jeff Lindsay,1
b6246,"The Crippled God (The Malazan Book of the Fallen, #10)",book,Steven Erikson,1
b76,Sense and Sensibility,book,"Jane Austen, Tony Tanner, Ros Ballaster",1
b1038,"Roll of Thunder, Hear My Cry (Logans, #4)",book,Mildred D. Taylor,1
b7939,"Clean Sweep (Innkeeper Chronicles, #1)",book,Ilona Andrews,1
b6993,Lullabies,book,Lang Leav,1
b2217,"Hallowed (Unearthly, #2)",book,Cynthia Hand,1
b5464,"The Walking Dead, Vol. 05: The Best Defense",book,"Robert Kirkman, Charlie Adlard, Cliff Rathburn",1
b1162,Seriously... I'm Kidding,book,Ellen DeGeneres,1
b4852,Scrappy Little Nobody,book,Anna Kendrick,1
b7788,"The Wayfarer Redemption (Wayfarer Redemption, #1)",book,Sara Douglass,1
b4001,The Fireman,book,Joe Hill,1
b2447,"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",book,Michael Scott,1
b3768,"Trapped (The Iron Druid Chronicles, #5)",book,Kevin Hearne,1
b4554,"Those Left Behind (Serenity, #1)",book,"Joss Whedon, Brett Matthews, Will Conrad",1
b4435,The Decameron,book,"Giovanni Boccaccio, G.H. McWilliam",1
b8074,"Fables, Vol. 8: Wolves",book,"Bill Willingham, Mark Buckingham, Steve Leialoha, Shawn McManus, Andrew Pepoy",1
b7550,"Adulthood Is a Myth (Sarah's Scribbles, #1)",book,Sarah Andersen,1
b2131,Fathers and Sons,book,"Ivan Turgenev, George Reavy, Jane Costlow",1
b4150,"How the Light Gets In (Chief Inspector Armand Gamache, #9)",book,Louise Penny,1
b3044,"Queste (Septimus Heap, #4)",book,"Angie Sage, Mark Zug",1
b1369,"Bud, Not Buddy",book,Christopher Paul Curtis,1
b9584,"On the Way to the Wedding (Bridgertons, #8)",book,Julia Quinn,1
b1621,Drive: The Surprising Truth About What Motivates Us,book,Daniel H. Pink,1
b2955,"Lover at Last (Black Dagger Brotherhood, #11)",book,J.R. Ward,1
b9213,"Fables, Vol. 7: Arabian Nights [and Days] (Fables, #7)",book,"Bill Willingham, Mark Buckingham, Steve Leialoha, Jim Fern, Jimmy Palmiotti, Andrew Pepoy",1
b763,The Bluest Eye,book,Toni Morrison,1
b3496,"This Side of the Grave (Night Huntress, #5)",book,Jeaniene Frost,1
b3243,The Stars My Destination,book,"Alfred Bester, Neil Gaiman",1
b5417,"E is for Evidence (Kinsey Millhone, #5)",book,Sue Grafton,1
b6138,The Hidden Staircase (Nancy Drew #2),book,"Carolyn Keene, Mildred Benson",1
b4457,Sisters,book,Raina Telgemeier,1
b2150,"Body of Evidence (Kay Scarpetta, #2)",book,Patricia Cornwell,1
b2965,"The Plains of Passage (Earth's Children, #4)",book,Jean M. Auel,1
b1024,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",book,Alan Bradley,1
b4822,"Complete Poems, 1904-1962",book,E.E. Cummings,1
b2884,"Never Fade (The Darkest Minds, #2)",book,Alexandra Bracken,1
b757,Lonesome Dove,book,Larry McMurtry,1
b7081,"The Lives of Christopher Chant (Chrestomanci, #2)",book,Diana Wynne Jones,1
b404,Defending Jacob,book,William Landay,1
b2785,"Witch & Wizard (Witch & Wizard, #1)",book,"James Patterson, Gabrielle Charbonnet",1
b3183,The Darkest Kiss (Lords of the Underworld #2),book,Gena Showalter,1
b6602,The Courts of Chaos (The Chronicles of Amber #5),book,Roger Zelazny,1
b4317,Mirror Mirror,book,Gregory Maguire,1
b2997,"The Fiery Heart (Bloodlines, #4)",book,Richelle Mead,1
b9389,"Clouds of Witness (Lord Peter Wimsey, #2)",book,Dorothy L. Sayers,1
b7607,"Lord Edgware Dies (Hercule Poirot, #9)",book,Agatha Christie,1
b3875,"Twice Bitten (Chicagoland Vampires, #3)",book,Chloe Neill,1
b3488,The Rise of Theodore Roosevelt,book,Edmund Morris,1
b604,"Girl, Interrupted",book,Susanna Kaysen,1
b136,Divine Secrets of the Ya-Ya Sisterhood,book,Rebecca Wells,1
b3865,"The Last Boyfriend (Inn BoonsBoro, #2)",book,"Nora Roberts, MacLeod Andrews",1
b7448,"King's Cage (Red Queen, #3)",book,Victoria Aveyard,1
b1734,Endurance: Shackleton's Incredible Voyage,book,Alfred Lansing,1
b3632,"Use of Weapons (Culture, #3)",book,Iain M. Banks,1
b3268,The Zookeeper's Wife,book,Diane Ackerman,1
b4423,"Immortal in Death (In Death, #3)",book,J.D. Robb,1
b9103,"Wizard at Large (Magic Kingdom of Landover, #3)",book,Terry Brooks,1
b8004,"Kare Kano: His and Her Circumstances, Vol. 1",book,"Masami Tsuda, Darcy Lockman, Jack Niida",1
b7347,"The Hand of Chaos (The Death Gate Cycle, #5)",book,"Margaret Weis, Tracy Hickman",1
b4334,"Sandman Slim (Sandman Slim, #1)",book,Richard Kadrey,1
b8742,Star Wars - Episode I: The Phantom Menace,book,"Terry Brooks, George Lucas",1
b4688,"Stalingrad: The Fateful Siege, 1942–1943",book,Antony Beevor,1
b5093,"Sword Song (The Saxon Stories, #4)",book,Bernard Cornwell,1
b7748,"Nemesis (Miss Marple, #12)",book,Agatha Christie,1
b771,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",book,Erik Larson,1
b8390,Philosophical Investigations,book,"Ludwig Wittgenstein, G.E.M. Anscombe",1
b3249,"Calamity (The Reckoners, #3)",book,Brandon Sanderson,1
b2343,The Watsons Go to Birmingham - 1963,book,Christopher Paul Curtis,1
b6659,Hamilton: The Revolution,book,"Lin-Manuel Miranda, Jeremy McCarter",1
b2726,The Distance Between Us,book,Kasie West,1
b2507,"The Bronze Horseman (The Bronze Horseman, #1)",book,Paullina Simons,1
b1271,The Signature of All Things,book,Elizabeth Gilbert,1
b2808,"The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)",book,R.A. Salvatore,1
b2543,The Thousand Autumns of Jacob de Zoet,book,David Mitchell,1
b4083,"Match Me If You Can (Chicago Stars, #6)",book,Susan Elizabeth Phillips,1
b1498,Hearts in Atlantis,book,Stephen King,1
b7368,"Captive Prince: Volume Two (Captive Prince, #2)",book,C.S. Pacat,1
b6245,The Princess Diarist,book,Carrie Fisher,1
b8121,1493: Uncovering the New World Columbus Created,book,Charles C. Mann,1
b3227,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,book,Nate Silver,1
b2303,"Bloody Bones (Anita Blake, Vampire Hunter #5)",book,Laurell K. Hamilton,1
b4487,Silent Spring,book,"Rachel Carson, Linda Lear, Edward O. Wilson",1
b9234,"Renegade's Magic (Soldier Son, #3)",book,Robin Hobb,1
b3432,The Opposite of Loneliness: Essays and Stories,book,Marina Keegan,1
b3246,"The Rise of Endymion (Hyperion Cantos, #4)",book,Dan Simmons,1
b2788,The Wright Brothers,book,David McCullough,1
b5210,Discipline and Punish: The Birth of the Prison,book,"Michel Foucault, Alan Sheridan, Thomas Mathiesen, Walter Seitter, Drago Braco Rotar",1
b2922,"Batman, Volume 1: The Court of Owls",book,"Scott Snyder, Greg Capullo, Jonathan Glapion",1
b86,A Time to Kill,book,John Grisham,1
b4928,"A Trick of the Light (Chief Inspector Armand Gamache, #7)",book,Louise Penny,1
b7438,The Troop,book,Nick Cutter,1
b4992,"A Lion Among Men (The Wicked Years, #3)",book,"Gregory Maguire, Douglas Smith",1
b1522,Brooklyn,book,Colm Tóibín,1
b2145,Tipping the Velvet,book,Sarah Waters,1
b4084,"Heaven and Earth (Three Sisters Island, #2)",book,Nora Roberts,1
b3287,Food Rules: An Eater's Manual,book,Michael Pollan,1
b7897,"Incarnate (Newsoul, #1)",book,Jodi Meadows,1
b1967,Meditations,book,"Marcus Aurelius, Martin Hammond, Diskin Clay",1
b5217,"The Skull Throne (Demon Cycle, #4)",book,Peter V. Brett,1
b1533,"The Tale of the Body Thief (The Vampire Chronicles, #4)",book,Anne Rice,1
b5747,At the Mountains of Madness,book,"H.P. Lovecraft, China Miéville, S.T. Joshi",1
b2190,"Cry, the Beloved Country",book,Alan Paton,1
b3781,"The Goddess Test (Goddess Test, #1)",book,Aimee Carter,1
b1134,"Gabriel's Rapture (Gabriel's Inferno, #2)",book,Sylvain Reynard,1
b1610,The Shoemaker's Wife,book,Adriana Trigiani,1
b9730,"Millennium Snow, Vol. 1",book,Bisco Hatori,1
b3453,"Of Poseidon (The Syrena Legacy, #1)",book,Anna Banks,1
b9380,"A Week to Be Wicked (Spindle Cove, #2)",book,Tessa Dare,1
b742,"Wool Omnibus (Silo, #1)",book,Hugh Howey,1
b1517,"The Twelve (The Passage, #2)",book,Justin Cronin,1
b4196,Johnny Tremain,book,"Esther Forbes, Lynd Ward",1
b3350,"The Wizard Heir (The Heir Chronicles, #2)",book,Cinda Williams Chima,1
b3850,"The House of Silk (Sherlock Holmes, #1)",book,Anthony Horowitz,1
b8750,"Lady of Avalon (Avalon, #3)",book,"Marion Zimmer Bradley, Diana L. Paxson",1
b6554,"Into the Labyrinth (The Death Gate Cycle, #6)",book,"Margaret Weis, Tracy Hickman",1
b1979,"Dead Ever After (Sookie Stackhouse, #13)",book,Charlaine Harris,1
b1691,Narrative of the Life of Frederick Douglass,book,Frederick Douglass,1
b9209,Roller Girl,book,Victoria Jamieson,1
b2662,"Midnight Alley (The Morganville Vampires, #3)",book,Rachel Caine,1
b4181,"Green Mars (Mars Trilogy, #2)",book,Kim Stanley Robinson,1
b4082,"The Mistake (Off-Campus, #2)",book,Elle Kennedy,1
b6642,"Locke & Key, Vol. 5: Clockworks",book,"Joe Hill, Gabriel Rodríguez",1
b5668,"G is for Gumshoe (Kinsey Millhone, #7)",book,Sue Grafton,1
b1141,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,book,Austin Kleon,1
b9376,The Hand of Oberon (The Chronicles of Amber #4),book,Roger Zelazny,1
b797,Crazy Love: Overwhelmed by a Relentless God,book,"Francis Chan, Danae Yankoski, Chris Tomlin",1
b6290,"Kitchen Princess, Vol. 01 (Kitchen Princess, #1)",book,"Natsumi Ando, Miyuki Kobayashi",1
b6171,"American Vampire, Vol. 1",book,"Scott Snyder, Stephen King, Rafael Albuquerque",1
b2240,A Raisin in the Sun,book,Lorraine Hansberry,1
b5576,"Ever After (The Hollows, #11)",book,Kim Harrison,1
b3677,"The Gray Wolf Throne (Seven Realms, #3)",book,Cinda Williams Chima,1
b5328,"The Runaway King (The Ascendance Trilogy, #2)",book,Jennifer A. Nielsen,1
b4848,"84, Charing Cross Road",book,Helene Hanff,1
b3154,"Erak's Ransom (Ranger's Apprentice, #7)",book,John Flanagan,1
b5239,"F is for Fugitive (Kinsey Millhone, #6)",book,Sue Grafton,1
b1241,Killing Lincoln: The Shocking Assassination that Changed America Forever,book,"Bill O'Reilly, Martin Dugard",1
b5956,"Broken Homes (Peter Grant, #4)",book,Ben Aaronovitch,1
b4128,The Wonder,book,Emma Donoghue,1
b1016,"The Surgeon (Rizzoli & Isles, #1)",book,Tess Gerritsen,1
b1761,Moonwalking with Einstein: The Art and Science of Remembering Everything,book,Joshua Foer,1
b1223,"The Foundation Trilogy (Foundation, #1-3)",book,Isaac Asimov,1
b2067,The House Girl,book,Tara Conklin,1
b34,"Fifty Shades of Grey (Fifty Shades, #1)",book,E.L. James,1
b5784,Your Inner Fish: A Journey into the 3.5-Billion-Year History of the Human Body,book,Neil Shubin,1
b521,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",book,Michael Connelly,1
b2283,"Halo (Halo, #1)",book,Alexandra Adornetto,1
b4503,"The History of Tom Jones, a Foundling",book,"Henry Fielding, Thomas Keymer, Alice Wakely",1
b548,"Pretty Little Liars (Pretty Little Liars, #1)",book,Sara Shepard,1
b1122,"Finale (Hush, Hush, #4)",book,Becca Fitzpatrick,1
b1983,"Breathe (Sea Breeze, #1)",book,Abbi Glines,1
b3902,Dark Needs at Night's Edge (Immortals After Dark #5),book,Kresley Cole,1
b5151,"The Ironwood Tree (The Spiderwick Chronicles, #4)",book,"Holly Black, Tony DiTerlizzi",1
b3166,"A Kiss of Shadows (Merry Gentry, #1)",book,Laurell K. Hamilton,1
b3471,"The Stonekeeper (Amulet, #1)",book,Kazu Kibuishi,1
b1422,"Out from Boneville (Bone, #1)",book,"Jeff Smith, Steve Hamaker",1
b1293,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",book,"Trenton Lee Stewart, Carson Ellis",1
b4718,"Written in Red (The Others, #1)",book,Anne Bishop,1
b5251,The Dressmaker,book,Kate Alcott,1
b1811,"Visions of Sugar Plums (Stephanie Plum, #8.5)",book,Janet Evanovich,1
b4480,"Rebel Belle (Rebel Belle, #1)",book,Rachel Hawkins,1
b3454,Night Embrace (Dark-Hunter #2),book,Sherrilyn Kenyon,1
b2668,Psycho,book,Robert Bloch,1
b1176,Mystic River,book,Dennis Lehane,1
b2680,The Autobiography of Benjamin Franklin,book,"Benjamin Franklin, Lewis Leary",1
b4328,A Knight in Shining Armor,book,Jude Deveraux,1
b3817,The Best of H.P. Lovecraft: Bloodcurdling Tales of Horror and the Macabre,book,"H.P. Lovecraft, August Derleth, Robert Bloch",1
b5773,"The Walking Dead, Vol. 06: This Sorrowful Life",book,"Robert Kirkman, Charlie Adlard, Cliff Rathburn",1
b3000,"Jingo (Discworld, #21; City Watch, #4)",book,Terry Pratchett,1
b4693,"Smooth Talking Stranger (Travises, #3)",book,Lisa Kleypas,1
b8611,On the Genealogy of Morals,book,"Friedrich Nietzsche, Douglas Smith",1
b8491,"Antrax (Voyage of the Jerle Shannara, #2)",book,Terry Brooks,1
b1251,"The Reckoning (Darkest Powers, #3)",book,Kelley Armstrong,1
b285,"The Rosie Project (Don Tillman, #1)",book,Graeme Simsion,1
b6973,"Wielding a Red Sword (Incarnations of Immortality, #4)",book,Piers Anthony,1
b8291,"Rule of Two (Star Wars: Darth Bane, #2)",book,Drew Karpyshyn,1
b9992,"The Red Knight (The Traitor Son Cycle, #1)",book,Miles  Cameron,1
b3248,The Arrival,book,Shaun Tan,1
b464,Holy Bible: King James Version,book,Anonymous,1
b2341,"The Killing Dance (Anita Blake, Vampire Hunter, #6)",book,Laurell K. Hamilton,1
b303,"The Secret (The Secret, #1)",book,Rhonda Byrne,1
b426,A Confederacy of Dunces,book,"John Kennedy Toole, Walker Percy",1
b7138,The Memoirs of Cleopatra,book,Margaret George,1
b2211,"Faceless Killers (Kurt Wallander, #1)",book,"Henning Mankell, Steven T. Murray",1
b1671,Carry On,book,Rainbow Rowell,1
b3201,The Warlord Wants Forever (Immortals After Dark #1),book,Kresley Cole,1
b659,Dreams from My Father: A Story of Race and Inheritance,book,Barack Obama,1
b3006,"Count Zero (Sprawl, #2)",book,William Gibson,1
b4149,"The Oresteia  (Ορέστεια, #1-3)",book,"Aeschylus, Robert Fagles, William Bedell Stanford",1
b8288,"In Bed with a Highlander (McCabe Trilogy, #1)",book,Maya Banks,1
b5581,Carmilla,book,J. Sheridan Le Fanu,1
b2346,Columbine,book,Dave Cullen,1
b4121,"Face the Fire (Three Sisters Island, #3)",book,Nora Roberts,1
b3754,The Naked Sun (Robot #2),book,Isaac Asimov,1
b7681,"Elephants Can Remember (Hercule Poirot, #37)",book,Agatha Christie,1
b1430,Everyone Worth Knowing,book,Lauren Weisberger,1
b2335,The Girl with the Lower Back Tattoo,book,Amy Schumer,1
b3909,"The Viscount Who Loved Me (Bridgertons, #2)",book,Julia Quinn,1
b2314,Light in August,book,William Faulkner,1
b8243,"Fables, Vol. 9: Sons of Empire",book,"Bill Willingham, Mark Buckingham, Steve Leialoha, Andrew Pepoy, Gene Ha, Joshua Middleton, Iñaki Miranda, Mike Allred",1
b3670,"Cibola Burn (The Expanse, #4)",book,James S.A. Corey,1
b8005,"Vision in Silver (The Others, #3)",book,Anne Bishop,1
b2761,Feed,book,M.T. Anderson,1
b1713,"Watermelon (Walsh Family, #1)",book,Marian Keyes,1
b6104,Daisy Miller,book,Henry James,1
b3384,"Perfection (Neighbor from Hell, #2)",book,R.L. Mathewson,1
b2405,"Morrigan's Cross (Circle Trilogy, #1)",book,Nora Roberts,1
b5862,"Natural Born Charmer (Chicago Stars, #7)",book,Susan Elizabeth Phillips,1
b3221,"Savvy (Savvy, #1)",book,Ingrid Law,1
b1880,"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",book,R.A. Salvatore,1
b2082,The Qur'an / القرآن الكريم,book,Anonymous,1
b6356,"A Dance with Dragons: Dreams and Dust (A Song of Ice and Fire #5, Part 1 of 2)",book,George R.R. Martin,1
b3859,Dark Desires After Dusk (Immortals After Dark #6),book,Kresley Cole,1
b4798,"Genghis: Birth of an Empire (Conqueror, #1)",book,Conn Iggulden,1
b5566,"Dragon Bound (Elder Races, #1)",book,Thea Harrison,1
b7320,"Half a War (Shattered Sea, #3)",book,Joe Abercrombie,1
b1182,Joyland,book,Stephen King,1
b320,"Where'd You Go, Bernadette",book,Maria Semple,1
b5202,Asterios Polyp,book,David Mazzucchelli,1
b4586,Cover Her Face (Adam Dalgliesh #1),book,P.D. James,1
b4065,"Black Rose (In the Garden, #2)",book,Nora Roberts,1
b994,"All Creatures Great and Small (All Creatures Great and Small, #1-2)",book,James Herriot,1
